SLV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13300;Svetopolk Pivko;T_SLV_Svetopolk_Pivko;4;1938;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13301;Melamin;T13302;3;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13302;Ljubljana Machine Factories;T_SLV_Strojne_tovarne_in_livarne_dd;3;1919;1970;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13303;Kranj Machine Factories;T_SLV_Iskra;4;1942;1970;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13304;Kranjska Industrijska Druzba;T_BOS_Zeljezara_Zenica;4;1869;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13305;Trifailer Kohlenwerks-Gesellschaft;T3309;4;1872;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13306;Universitas Labacensis;T13305;3;1919;1970;mechanics;electronics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13307;Institute Jozef Stefan;T13300;3;1949;1970;nuclear_physics;nuclear_engineering;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13308;Josip Plemelj;T_SLV_Josip_Plemelj;5;1919;1950;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13309;Ivan Vidav;T_SLV_Ivan_Vidav;6;1950;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13310;Rikard Salher;T_SLV_Richard_Salcher;3;1930;1941;naval_artillery;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13311;Vladimir Andoljsek;T_SLV_Vladimir_Andoljsek;3;1941;1960;electronics;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13312;Radoslav Saje;T_SLV_Radoslav_Saje;4;1947;1970;naval_engineering;submarine_tactics;naval_training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13313;Franjo Pirc;T_SLV_Franjo_Pirc;4;1936;1954;fighter_tactics;centralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13314;Zdenko Ulepic;T_SLV_Zdenko_Ulepic;4;1948;1970;fighter_tactics;bomber_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13315;Leon Rupnik;T_SLV_Leon_Rupnik;4;1930;1945;small_unit_tactics;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13316;Milan Plesnicar;T_SLV_Milan_Plesnicar;4;1930;1947;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13317;Franc Tavcar;T_SLV_Franc_Tavcar;4;1947;1970;small_unit_tactics;infantry_focus;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13318;Bozidar Kraut;T_SLV_Bozidar_Kraut;4;1944;1966;small_unit_tactics;large_unit_tactics;decentralized_execution;combined_arms_focus;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
