SOM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13400;Imperial Gemgiabiet;T6500;1;1950;1970;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13404;Addis Abeba University;T6504;2;1950;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13405;AMB;T10504;2;1950;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13406;Mogadishu Military School;T10401;1;1930;1970;centralized_execution;decentralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13408;Oletta Military Academy;ETH_Oletta;2;1950;1970;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13409;Ethiopian Air Lines;ETH_Air;2;1945;1970;aeronautics;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13410;Melotti Industries Asmara;ETH_Melotti;3;1951;1970;industrial_engineering;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13413;National Bank of Ethiopia;ETH_NationalBank;2;1950;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13414;Ethiopian Electric Power;T_ETH_Electricity;2;1950;1970;management;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13415;Ethiopian Air Force;T_ETH_Airforce;2;1950;1970;fighter_tactics;aircraft_testing;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13416;Port of Massawa;PoM;4;1950;1970;naval_artillery;naval_engineering;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13417;University of Asmara;UoA;5;1950;1970;mathematics;industrial_engineering;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13418;Kebur Zabangna;T_ETH_KeburZabangna;2;1930;1970;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13419;Port of Mogadishu;PoMog;4;1930;1970;submarine_design;electronics;carrier_design;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13420;University of Mogadishu;UoM;5;1930;1970;medicine;chemistry;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
