SOV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3700;Tupolev OKB;T3714;5;1922;1949;aeronautics;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3701;Dmitry Grigorovich;T_UKR_Dmitry_Grigorovich;5;1930;1955;aeronautics;fighter_design;bomber_design;mechanics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3702;Tupolev OKB;T3714;6;1949;1970;aeronautics;bomber_design;technical_efficiency;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3703;Ilyushin OKB;T3709;6;1930;1947;aeronautics;fighter_design;bomber_design;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3704;Ilyushin OKB;T3709;6;1947;1970;aeronautics;bomber_design;mechanics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3705;Semyon Lavochkin;Semjon_Lawotschkin_KR_TT;6;1930;1945;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3706;Kamov-Mil OKB;Mil_KR_TT;7;1940;1970;aeronautics;electronics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3707;Yakovlev OKB;T3718;7;1934;1970;aeronautics;fighter_design;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3708;Lavochkin-Gurevich OKB;T_SOV_MiG;7;1945;1970;aeronautics;fighter_design;general_equipment;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3709;Vladimir Vetchinkin;T_SOV_Vladimir_Vetchinkin;5;1930;1950;rocketry;aeronautics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3710;Mikhail Tikhonravov;T_SOV_Mikhail_Tikhonravov;7;1945;1970;rocketry;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3711;Kronshtadtskiy Sudoremontnyy Zavod;T11003;5;1858;1970;naval_engineering;naval_artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3712;Vladimir Peregudov;T_SOV_Vladimir_Peregudov;5;1951;1968;naval_engineering;electronics;nuclear_engineering;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3713;Admiralteyskiy Sudostroitelnyy;T_RUS_Admiralty_Shipyard;5;1704;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3714;TsKB Morskoy Tekhniki 'Rubin';T7209;5;1926;1970;naval_engineering;naval_artillery;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3715;Chernomorskii Sudostroitelny Zavod;T3700;5;1911;1942;naval_engineering;naval_artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3716;Chernomorskii Sudostroitelny Zavod;T_RUS_Nikolaev_Shipyard;5;1942;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3717;Krasnoye Sormovo Zavod;T_SOV_Krasnoye_Sormovo;6;1849;1970;artillery;naval_engineering;submarine_design;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3718;Izhorskiye Zavody;T_RUS_Izhora_Plants;5;1722;1970;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3719;Tulsky Oruzheiny Zavod;T_RUS_Tula_Arsenal;5;1712;1970;artillery;mechanics;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3720;Mashinostroitelny Zavod 'Barrikady';T3701;6;1914;1970;artillery;mechanics;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
