SPR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3900;CASA;T3900;4;1969;1945;aeronautics;bomber_design;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3901;CASA;T3900;5;1945;1970;aeronautics;bomber_design;mechanics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3902;Asamblea General de la Hispano-Suiza;T3910;5;1930;1970;aeronautics;fighter_design;artillery;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3903;Juan de la Cierva;T_SPA_Juan_Cierva;6;1969;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3904;Virgilio Leret Ruiz;T3902;3;1930;1942;rocketry;mathematics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3905;Instituto Nacional de Técnica Aeronáutica;T_SPA_INTA;4;1942;1970;rocketry;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3906;Naval de Sestao;T11003;4;1969;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3907;La Maquinista Terrestre y Marítima;T_SPA_Maquinista_T&M;4;1930;1970;naval_engineering;naval_artillery;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3908;Compañia Euskalduna;T11001;5;1969;1970;naval_engineering;submarine_design;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3909;SECN;T3912;5;1969;1970;naval_engineering;naval_artillery;carrier_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3910;Esperanza & Unceta;T3103;5;1930;1970;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3911;Fábrica de Armas de A Coruña;T3105;4;1969;1970;artillery;mechanics;electronics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3912;Fábrica de Armas Unificadas de Catalunya;Kaiserreich_SPR_Fabrica_Armas;4;1930;1970;artillery;mechanics;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3913;Automóviles Elizalde;T_CAT_Elizalde;4;1930;1970;aeronautics;mechanics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3914;Fábrica de Armas de Trubia;T3104;4;1969;1970;artillery;mechanics;munitions;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3915;Comisión de Industrias de Guerra;Kaiserreich_SPR_Industrias;4;1930;1970;artillery;mechanics;general_equipment;technical_efficiency;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3916;Escuela Técnica Superior de Ingenieros Industriales;T_SPA_Escuela_Tecnica;4;1945;1970;mechanics;electronics;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3917;Electroquímica de Flix;T_SPA_Electroquimica_Flix;4;1930;1970;mechanics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3918;Societat Anónima Cros;T3101;5;1930;1970;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3919;Ferrocarriles Españoles;T2803;5;1930;1970;mechanics;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3920;Altos Hornos de Vizcaya;T11000;5;1969;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3921;Antoni Esteve i Subirana;T_SPA_Antoni_Esteve-Subirana;4;1930;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3922;Universitat de Valencia;T_SPR_Universitat_Valencia;3;1930;1945;mathematics;electronics;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3923;Universidad Complutense de Madrid;T_SPA_Complutense;4;1940;1970;mathematics;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3924;Centro de Estudios Universitarios;Kaiserreich_EUS_CEU;5;1945;1970;mathematics;electronics;chemistry;nuclear_physics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3925;Esteban Terradas i Illa;T_SPA_Esteban_Terradas-Illa;5;1930;1950;mathematics;electronics;training;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3926;Buiza Palacios;T3914;3;1930;1937;small_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3927;González Ubieta;T3915;4;1937;1970;large_taskforce_tactics;decentralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3928;Escuela Naval Militar;T_SPA_Escuela_Naval_Militar;4;1969;1970;naval_engineering;small_taskforce_tactics;centralized_execution;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3929;Felipe Díaz Sandino;T_SPR_Felipe_Diaz_Sandino;4;1940;1953;fighter_tactics;decentralized_execution;piloting;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3930;Mendiola Núñez;T3908;5;1930;1970;bomber_tactics;decentralized_execution;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
