TEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13800;Fairchild Aviation;Z_T_TEX_FAIRCHILD;5;1930;1954;aeronautics;mechanics;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13833;Fairchild Aviation;Z_T_TEX_FAIRCHILD;6;1954;1970;aeronautics;mechanics;aircraft_testing;bomber_design;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13803;McDonnell Aircraft;mcdonnell;7;1940;1970;aeronautics;fighter_design;munitions;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13804;North American Aviation;Z_T_TEX_NAA;6;1937;1970;aeronautics;fighter_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13836;Marietta Bomber;Z_T_TEX_MARIETTA;5;1943;1970;aeronautics;bomber_design;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13807;American Gyrodyne;vertol;7;1946;1970;aeronautics;aircraft_testing;munitions;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13801;Embry-Riddle Aeronautical University;embryriddle;5;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13802;Redstone Arsenal;redstone;6;1943;1970;rocketry;management;aeronautics;technical_efficiency;industrial_engineering;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13805;Remington Arms;remington;8;1930;1970;mechanics;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13806;Georgia Tech Research Institute;GTRI;7;1934;1970;chemistry;electronics;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x																													  
