TRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14700;Maksim Saburov;kaiserreich_Maksim_Saburov;5;1930;1970;mathematics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14701;Yekaterinodar University;T12703;3;1930;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14702;Armavirzavod;T14700;2;1930;1970;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14703;Yekaterinodar Ordnance and Steel Plant;T14704;2;1930;1970;industrial_engineering;mechanics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14704;Yekaterinodar Electromechanical plant;T14703;3;1930;1970;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14705;Novorossijsk Naval Academy;T14011;3;1930;1970;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14706;Tuapse Arsenal;T9800;2;1930;1970;training;general_equipment;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14707;Pyotr Krasnov;kaiserreich Pyotr_Krasnov;5;1930;1970;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14708;Novorossijsk Shipyards;T88893;2;1930;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14709;Grozny Petroleum Company;Imperial Oil;6;1930;1970;industrial_engineering;chemistry;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14710;Yekaterinodar Military Academy;T10401;4;1930;1970;small_unit_tactics;individual_courage;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14711;Novorosijsk Air Force Cadet Center;T10402;3;1930;1970;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
