U24;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x;
18200;Daimler;T600;8;1930;1970;mechanics;industrial_engineering;general_equipment;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18201;Phönix Flugzeug-Werke;T601;5;1930;1970;aeronautics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18202;Pintsch;T602;4;1930;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18203;Steyr;T603;6;1930;1970;munitions;general_equipment;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18204;Alexander Löhr;T604;6;1930;1970;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18205;Erzherzog Eugen;kaiserreich_T15;6;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18206;Gottfried Banfield;kaiserreich_T18;5;1930;1970;fighter_tactics;decentralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18207;Lothar Rendulic;T607;6;1930;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18208;Erwin Schrödinger;T608;6;1930;1970;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18209;Skoda;kaiserreich_T16;8;1930;1970;mechanics;industrial_engineering;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18210;Avaitik;kaiserreich_T14;5;1900;1970;aeronautics;avionics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18211;Kaiserliche Kriegshafen;kaiserreich_T17;6;1900;1970;naval_artillery;naval_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18212;k.k. Marine-Akademie;kaiserreich_T19;5;1930;1970;naval_training;centralized_execution;large_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18213;Eugen Sänger;Kaiserreich_tech_Saenger;7;1930;1970;rocketry;aeronautics;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18214;Georg von Trapp;Kaiserreich_tech_von Trapp;5;1930;1947;naval_training;centralized_execution;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
18215;Budapest Chemical Works;T1600;6;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18216;Ede Teller;kaiserreich_teller;8;1930;1970;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18217;Ganz-Mávag Rt. ;T1602;6;1930;1970;mechanics;electronics;general_equipment;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18218;ICN;T1603;6;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18219;János Neumann;kaiserreich_neumann;7;1930;1970;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18220;Kármán Tódor;kaiserreich_karman;6;1930;1970;aeronautics;rocketry;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18221;Manfred Weiss;T1604;7;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18222;MOLAJ Rt.;T1606;6;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18223;Óbuda Shipyard Rt. ;kaiserreich_hajo;4;1930;1970;naval_engineering;electronics;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18224;Rába;kaiserreich_raba;6;1930;1970;management;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18225;Technical University of Budapest;kaiserreich_bme;6;1900;1970;mechanics;electronics;industrial_engineering;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18226;Zoltán Bay;T1614;6;1900;1970;electronics;management;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18227;Gusztáv Jány;kaiserreich_jany;6;1930;1970;centralized_execution;individual_courage;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18228;Miklós Horthy de Nagybánya;kaiserreich_horthy;5;1930;1970;seamanship;naval_training;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18229;Split Naval Yard;T3802;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18230;Vladimir Laxa;T31007;4;1930;1970;infantry_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18231;Vladimir Kren;T31010;4;1930;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18232;Avia;T1101;5;1930;1970;aeronautics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18233;Ceská Zbrojovka;T1102;5;1930;1970;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18234;C-K-D;T1103;7;1930;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18235;Dubnica Machines Plant;T1103;7;1930;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18236;Jaroslav Eminger;T1108;4;1930;1963;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18237;Jaroslav Heyrovsky;T1109;6;1930;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18238;Charles University Prague;T1110;5;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18239;Uniwersytet Jagiellonski;UJ_T;5;1930;1970;chemistry;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18240;Politechnika Lwowska;lwow_T;4;1900;1970;mechanics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18241;Lwow School of Mathematics;lwowM_T;7;1900;1970;nuclear_physics;mathematics;nuclear_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18242;Die Tiroler Kaiserjäger Schule;Kaiserjaeger1b;7;1900;1970;mountain_training;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18243;Hansa und Brandenburgische Flugzeugwerke;Hansa_brandenburg_KR;5;1914;1970;bomber_design;Avionics;Aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18244;Bayer Österreich;Bayerlog_KR;6;1900;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18245;Günther Burstyn;Gunther_Burstyn;7;1960;1955;decentralized_execution;combined_arms_focus;blitzkrieg_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18246;Böhler AG;bohler_gun;6;1897;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18247;Österreichische Saurerwerke AG;Saurer_S4C;7;1937;1970;mechanics;technical_efficiency;vehicle_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
