USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100;Vought Aircraft;chancevought;5;1930;1942;aeronautics;fighter_design;mechanics;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
101;Boeing Airplane Company;Z_T_USA_FWBW;6;1930;1943;aeronautics;bomber_design;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102;Glenn L. Martin Company;T_USA_Martin_Company;6;1917;1970;aeronautics;bomber_design;naval_artillery;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
103;Vought Aircraft;chancevought;6;1942;1970;aeronautics;fighter_design;mechanics;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
104;North American Aviation;Z_T_TEX_NAA;6;1937;1970;aeronautics;fighter_design;bomber_design;munitions;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105;Boeing Airplane Company;Z_T_USA_FWBW;7;1943;1970;aeronautics;bomber_design;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
106;Grumman Aircraft Engineering Co.;Z_T_USA_GRUMMAN;7;1929;1946;aeronautics;fighter_design;general_equipment;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
107;Grumman Aircraft Engineering Co.;Z_T_USA_GRUMMAN;7;1946;1970;aeronautics;fighter_design;technical_efficiency;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
108;Piasecki Helicopter Corporation;T_USA_Piasecki_Helicopter;7;1946;1970;aeronautics;electronics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
109;Robert H. Goddard;Robert_H_Goddard_T;6;1914;1945;rocketry;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110;Kelly Johnson;T_USA_Clarence_Leonard_Johnson;7;1943;1970;rocketry;aeronautics;avionics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
111;Electric Boat Company;electricboat;6;1899;1970;naval_engineering;submarine_design;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
112;Portsmouth Naval Shipyard;Portsmouth_T;6;1800;1950;naval_engineering;submarine_design;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
