VEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5508;Compañía aeronaútica Venezolana;T308;3;1930;1944;aeronautics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5509;Compañía aeronaútica Venezolana;T308;3;1944;1970;aeronautics;fighter_design;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5513;DIANCA;T_VEN_DIANCA;3;1905;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5507;Arsenal Militar de Caracas;T9800;3;1930;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5510;CAVIM;T_VEN_CAVIM;3;1969;1970;artillery;mechanics;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5511;Electricidad de Caracas;T_VEN_Electricidad_Caracas;3;1895;1970;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5502;Instituto Autónomo Ferrocarriles del Estado;T5502;4;1930;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5500;JFPN;T5500;4;1930;1970;general_equipment;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5512;Siderúrgica de Orinoco;T_VEN_SIDOR;5;1969;1970;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5501;Creole Petroleum Corporation;T5501;6;1920;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5515;Universidad Central de Venezuela;T_VEN_UCV;3;1721;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5505;Escuela Naval de Venezuela;T5505;3;1811;1970;naval_engineering;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5514;Wolfgang Larrazábal;T_VEN_Wolfgang_Larrazabal;3;1947;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5504;Escuela de Aviación Militar;T5504;3;1920;1970;fighter_tactics;bomber_tactics;piloting;aeronautics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5519;Carlos Meyer Baldó;T_VEN_Carlos_Meyer_Baldo;4;1931;1960;fighter_tactics;piloting;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5520;Guillermo Pacanins Acevedo;T_VEN_Guillermo_Pacanins_Acevedo;4;1943;1970;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5516;Academia Militar de Venezuela;T_VEN_AMEB;3;1821;1970;individual_courage;infantry_focus;cavalry_tactics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5503;Carlos Delgado Chalbaud;T5503;3;1945;1970;decentralized_execution;combined_arms_focus;general_equipment;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5506;Isaías Medina Angarita;T5506;4;1930;1954;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5518;Eleazar López Contreras;T_VEN_Eleazar_Lopez_Contreras;4;1930;1945;large_unit_tactics;combined_arms_focus;aeronautics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5521;Marcos Pérez Jiménez;T_VEN_Marcos_Perez_Jimenez;4;1954;1970;small_unit_tactics;infantry_focus;combined_arms_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5517;Infantería de Marina Bolivariana;T_VEN_Infanteria_Marina_Bolivariana;3;1938;1970;small_unit_tactics;marine_training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
