VIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6601;Félix Amiot;Kaiserreich Félix Amiot;6;1930;1970;aeronautics;bomber_design;aircraft_testing;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6603;Blériot-SPAD;bleriot-spad;5;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6604;Hotchkiss;Kaiserreich tech Hotchkiss;5;1930;1970;artillery;general_equipment;electronics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6607;Compagnie française des pétroles;T6000;4;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6608;Manufacture d'Armes Algiers;T1408;5;1930;1970;mechanics;artillery;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6611;Université d' Algers;T9202;2;1930;1970;management;chemistry;mechanics;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6613;Schneider;T1413;4;1930;1970;artillery;mechanics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6614;Chantiers de la Méditerranée;T1400;4;1940;1940;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6615;Yves le Prieur;Kaiserreich tech lePrieur;4;1930;1954;rocketry;electronics;chemistry;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6617;Chemins de Fer Algériens;;4;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6619;Chantiers Navals de Dakar;kaiserreich TNingbo;5;1930;1970;naval_artillery;submarine_design;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6621;Latecoère;Kaiserreich tech latacoeur;3;1930;1970;aeronautics;bomber_design;avionics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6622;Ernest Mercier;Kaiserreich Mercier techteam;4;1938;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6623;Peugeot Citroën d'Algers;T1415;5;1930;1970;mechanics;artillery;electronics;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6624;François Darlan;T1418;6;1930;1970;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6625;Jean Mermoz;Kaiserreich Jean Mermoz;5;1930;1960;fighter_tactics;piloting;aircraft_testing;decentralized_execution;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6626;Maxime Weygand;T1423;4;1930;1960;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6627;Centre Saharien d'Expérimentations Militaires;10302;4;1941;1970;nuclear_physics;chemistry;technical_efficiency;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6628;Charles de Gaulle;T1416;7;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6629;Jean de Lattre de Tassigny;T_lattre;6;1941;1952;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6630;Philippe de Hautecloque;T_hauteclocque;6;1945;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6631;Georges Thierry d'Argenlieu;T_argenlieu;5;1945;1970;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6632;Maurice Gamelin;T1422;6;1965;1970;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6633;Maxime Weygand;T1423;5;1965;1942;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6634;Victor Denain;T1424;3;1965;1940;bomber_tactics;combined_arms_focus;aircraft_testing;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6635;Louis de Broglie;T1425;7;1965;1970;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6636;Dassault Aviation;T1426;7;1965;1970;rocketry;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6637;Dewoitine;T1403;4;1965;1970;fighter_design;general_equipment;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6638;FAMH;T1404;4;1965;1970;mechanics;training;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6639;F. Joliot & I. Joliot-Curie;T1405;6;1965;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6640;Morane-Saulnier;T1409;4;1965;1970;fighter_design;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6641;Lioré et Olivier;LeO_KR_TT;4;1930;1970;fighter_design;aeronautics;aircraft_testing;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6642;Arsenal de l'Aéronautique;Ars_KR_TT;6;1936;1970;rocketry;fighter_design;aircraft_testing;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6643;Antoine Béthouart;Antoinetech;5;1890;1970;artillery;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6644;Jean Touzet du Vigier;Touzetetech;6;1890;1970;combined_arms_focus;blitzkrieg_tactics;mechanics;training;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6645;René Paul Fonck;Foncktech;5;1930;1970;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6646;Troupes de Marine;T769424;6;1930;1970;naval_training;marine_training;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6647;Marius Berliet;Tech_Berliet;4;1930;1945;mechanics;technical_efficiency;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
