YUG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3800;Ikarus;T3800;4;1930;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3801;Industrija Aeroplanskih Motora;T3801;3;1930;1970;industrial_engineering;mechanics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3802;Jadransko Brodogradiliste;T3802;3;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3803;Memorandum Teleoptik;T3803;5;1930;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3804;Mikron;T3804;4;1930;1970;industrial_engineering;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3805;Yugoslavian State Railroads;T3805;5;1930;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3806;Zivojin Rogozarski;T3806;3;1930;1970;aeronautics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3807;ZMAJ;T3807;4;1930;1970;aeronautics;fighter_design;avionics;aircraft_Testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3808;Bogoljub Ilic;T3808;3;1930;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3809;Dusan Simovic;T3809;3;1930;1970;bomber_tactics;centralized_execution;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3810;Josip Broz Tito;T3810;6;1942;1970;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3811;Aleksandar Cincar-Markovic;T3811;3;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3812;Zastava Arsenal;T3812;5;1930;1970;general_equipment;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3813;Belgrade University;T15800;2;1930;1970;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3814;Yugoslavian State Railways;T3805;5;1930;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3815;Friedrich Navratil;T31008;2;1930;1970;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3816;Pavle Savic;T3813;7;1932;1961;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3817;Zorka;T3814;3;1938;1970;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3818;Jasenica AD;T3815;3;1939;1970;vehicle_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3819;Institut Nikole Tesle;T3816;5;1939;1970;electronics;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3820;Vistad;T3818;4;1938;1970;munitions;technical_efficiency;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3821;Miroslav Stumberger;T3819;3;1930;1970;rocketry;technical_efficiency;submarine_design;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3822;Skola Specijalnih Jedinica;T3817;4;1938;1970;small_unit_tactics;mountain_training;airborne_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3823;Miroslav Stumberger;T3819;3;1930;1970;rocketry;technical_efficiency;submarine_design;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3824;Skola Specijalnih Jedinica;T3817;4;1938;1970;small_unit_tactics;mountain_training;airborne_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
