allowed_brigades = escort

upgrade = { type = naval_bomber upgrade_time_factor = 0.54 upgrade_cost_factor = 1.4 }
upgrade = { type = tactical_bomber upgrade_time_factor = 0.54 upgrade_cost_factor = 1.4 }

# 0 - 1st Gen. Strategic Bomber
model = {
	cost 					= 15
	buildtime	 			= 72
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 110
	surfacedetectioncapability	= 3
	airdetectioncapability		= 2
	surfacedefence				= 8
	airdefence				= 30
	airattack				= 1
	strategicattack				= 2
	softattack				= 1
	hardattack				= 1
	navalattack				= 0
	range					= 500
	supplyconsumption 			= 3
	fuelconsumption				= 1
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 1 - 2nd Gen. Strategic Bomber
model = {
	cost 					= 15
	buildtime	 			= 72
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 145
	surfacedetectioncapability	= 3
	airdetectioncapability		= 2
	surfacedefence				= 6
	airdefence				= 30
	airattack				= 2
	strategicattack				= 4
	softattack				= 1
	hardattack				= 1
	navalattack				= 1
	range					= 750
	supplyconsumption 			= 3
	fuelconsumption				= 1
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 2 - 3rd Gen. Strategic Bomber
model = {
	cost 					= 18
	buildtime	 			= 240
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 180
	surfacedetectioncapability	= 3
	airdetectioncapability		= 2
	surfacedefence				= 5
	airdefence				= 30
	airattack				= 2
	strategicattack				= 6
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 1000
	supplyconsumption 			= 3
	fuelconsumption				= 1
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 3 - Basic Strategic Bomber
model = {
	cost 					= 20
	buildtime	 			= 250
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 250
	surfacedetectioncapability	= 3
	airdetectioncapability		= 2
	surfacedefence				= 4
	airdefence				= 30
	airattack				= 2
	strategicattack				= 6
	softattack				= 1
	hardattack				= 0
	navalattack				= 0
	range					= 1000
	supplyconsumption 			= 2
	fuelconsumption				= 3
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 4 - Improved Strategic Bomber
model = {
	cost 					= 22
	buildtime	 			= 270
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 300
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 3
	airdefence				= 18
	airattack				= 3
	strategicattack				= 7
	softattack				= 2
	hardattack				= 1
	navalattack				= 0
	range					= 1500
	supplyconsumption 			= 2.2
	fuelconsumption				= 3.2
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 5 - Advanced Strategic Bomber
model = {
	cost 					= 24
	buildtime	 			= 270
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 350
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 3
	airdefence				= 18
	airattack				= 3
	strategicattack				= 8
	softattack				= 2
	hardattack				= 1
	navalattack				= 0
	range					= 2000
	supplyconsumption 			= 2.5
	fuelconsumption				= 3.5
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 6 - Semi-Modern Strategic Bomber
model = {
	cost 					= 24
	buildtime	 			= 270
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 400
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 3
	airdefence				= 18
	airattack				= 3
	strategicattack				= 9
	softattack				= 3
	hardattack				= 1
	navalattack				= 0
	range					= 3000
	supplyconsumption 			= 2.5
	fuelconsumption				= 3.5
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 7 - Turbojet Strategic Bomber
model = {
	cost 					= 27
	buildtime	 			= 280
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3
	maxspeed				= 650
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 2
	airdefence				= 8
	airattack				= 2
	strategicattack				= 10
	softattack				= 1
	hardattack				= 0
	navalattack				= 0
	range					= 4000
	supplyconsumption 			= 3
	fuelconsumption				= 4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 8 - Improved Turbojet Strategic Bomber
model = {
	cost 					= 30
	buildtime	 			= 280
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3.5
	maxspeed				= 800
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 1
	airdefence				= 8
	airattack				= 2
	strategicattack				= 12
	softattack				= 2
	hardattack				= 1
	navalattack				= 0
	range					= 5000
	supplyconsumption 			= 3.5
	fuelconsumption				= 4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
# 9 - Intercontinental Strategic Bomber
model = {
	cost 					= 40
	buildtime	 			= 280
	defaultorganisation 		= 30
	morale					= 20
	manpower				= 3.5
	maxspeed				= 800
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 1
	airdefence				= 6
	airattack				= 4
	strategicattack				= 14
	softattack				= 2
	hardattack				= 1
	navalattack				= 0
	range					= 6000
	supplyconsumption 			= 4.5
	fuelconsumption				= 5
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	reinforce_time		= 0.6
	reinforce_cost 		= 0.5
	equipment = { heavy_bomber = 100 manpower = 1000 }
}
