Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arnaud;380000;VIC;1939;1942;1990;1990;2;4;2;2;0;4;0;L380000;1939;1944;1999;x
Audet;380001;VIC;1930;1938;1943;1990;2;5;1;3;0;4;0;L380001;1930;1948;1999;x
Barrau;380002;VIC;1943;1990;1990;1990;3;4;0;1;0;4;0;L380002;1943;1946;1999;x
Bridoux;380004;VIC;1930;1930;1990;1990;2;5;132;1;0;5;0;LEugene_ML_Bridoux;1930;1953;1999;x
Brocard G.;380005;VIC;1939;1990;1990;1990;3;5;128;1;0;5;0;L380005;1939;1948;1999;x
Landriau;380006;VIC;1939;1942;1990;1990;3;5;2048;2;0;5;1;L24197;1939;1952;1990;x
Colson;380008;VIC;1930;1930;1930;1990;1;6;2;1;0;2;0;L380008;1930;1960;1999;x
de Boissieu de Lugne;380009;VIC;1942;1990;1990;1990;3;5;132;1;0;5;0;L380009;1942;1970;1999;x
de Cyvoct;380010;VIC;1939;1941;1990;1990;2;4;514;2;0;4;0;L380010;1939;1943;1999;x
de Griffolet d'Aurimont;380011;VIC;1943;1990;1990;1990;3;5;256;1;0;3;0;L380011;1943;1970;1999;x
Debeney V.;380012;VIC;1937;1942;1990;1990;2;5;2;1;0;3;0;L380012;1937;1956;1999;x
Dentz;380013;VIC;1930;1930;1938;1990;1;6;258;3;0;3;0;L380013;1930;1948;1999;x
Desmazes;380014;VIC;1930;1939;1990;1990;2;4;512;2;0;4;0;L380014;1930;1946;1999;x
de Verdillac;380015;VIC;1930;1938;1941;1990;1;6;1;3;0;5;0;L380015;1930;1949;1999;x
Doumenc;380016;VIC;1930;1930;1930;1990;1;6;3;2;0;4;0;L380016;1930;1946;1999;x
Michelier;380017;VIC;1937;1940;1941;1990;2;6;8192;2;0;5;1;L24331;1937;1953;1990;x
Falvy;380019;VIC;1938;1939;1990;1990;2;4;1;2;0;4;0;L380019;1938;1953;1999;x
Finot;380020;VIC;1941;1943;1990;1990;2;4;1;2;0;4;0;L380020;1941;1960;1999;x
François;380021;VIC;1937;1990;1990;1990;3;5;256;1;0;4;0;L380021;1937;1960;1999;x
François M.J.V.L.;380130;VIC;1930;1930;1930;1990;1;5;768;3;0;0;0;LMJVL_Francois;1930;1944;1999;x
Kieffer;380131;VIC;1930;1990;1990;1990;3;6;33554688;2;0;0;0;L24104;1930;1963;1999;x
Hupel;380023;VIC;1942;1990;1990;1990;3;4;0;1;0;4;0;L380023;1942;1949;1999;x
Keime;380024;VIC;1939;1990;1990;1990;3;4;1;1;0;4;0;L380024;1939;1953;1999;x
Laure;380025;VIC;1930;1930;1938;1990;1;6;2;2;0;5;0;L380025;1930;1947;1999;x
Lemonnier E.;380026;VIC;1937;1943;1990;1990;2;5;1;2;0;4;0;L380026;1937;1960;1999;x
Mer;380027;VIC;1938;1941;1990;1990;2;5;0;2;0;5;0;L380027;1938;1950;1999;x
Nogues;380028;VIC;1930;1930;1930;1990;1;6;514;1;0;4;0;L380028;1930;1943;1999;x
Pétain;380029;VIC;1930;1930;1930;1930;0;6;514;2;0;5;0;M57001;1930;1945;1999;x
Puaud;380030;VIC;1940;1990;1990;1990;3;6;3;1;0;5;0;L380030;1940;1955;1999;x
Sabattier;380031;VIC;1942;1944;1990;1990;3;5;1;2;0;4;0;L380031;1942;1960;1999;x
Weygand;380032;VIC;1930;1930;1930;1990;1;7;514;1;0;5;0;L380032;1930;1942;1999;x
Abrial;380033;VIC;1930;1939;1940;1990;2;7;4096;2;0;5;1;L380033;1930;1946;1999;x
Decoux;380035;VIC;1930;1939;1990;1990;2;6;1024;2;0;4;1;L380035;1930;1950;1999;x
de Geffrier;380036;VIC;1930;1990;1990;1990;3;4;0;1;0;5;1;L380036;1930;1960;1999;x
de Laborde;380037;VIC;1930;1930;1938;1990;1;5;0;2;0;5;1;L380037;1930;1945;1999;x
Escudier;380038;VIC;1938;1990;1990;1990;3;4;0;1;0;5;1;L380038;1938;1960;1999;x
Esteva;380039;VIC;1930;1930;1940;1990;1;6;9216;2;0;4;1;L380039;1930;1946;1999;x
Gensoul;380040;VIC;1930;1937;1940;1990;2;7;8192;3;0;5;1;L380040;1930;1950;1999;x
Godfroy;380041;VIC;1930;1940;1990;1990;2;6;8192;2;0;5;1;L380041;1930;1955;1999;x
Ibbert;380042;VIC;1942;1944;1990;1990;2;4;0;2;0;5;1;L380042;1942;1960;1999;x
Luc;380043;VIC;1930;1939;1990;1990;2;4;0;2;0;5;1;L380043;1930;1960;1999;x
Baltus;380044;VIC;1937;1990;1990;1990;3;4;0;1;0;5;2;L380044;1937;1960;1999;x
Bergeret;380045;VIC;1938;1941;1990;1990;2;5;0;2;0;5;2;L380045;1938;1960;1999;x
Bouscat;380046;VIC;1938;1942;1990;1990;2;6;8192;2;0;5;2;L380046;1938;1956;1999;x
Clostermann;380047;VIC;1943;1990;1990;1990;3;8;4096;3;0;5;2;L380047;1943;1970;1999;x
d'Arnaud de Vitrolles;380048;VIC;1930;1939;1990;1990;2;6;0;2;0;5;2;L380048;1930;1966;1999;x
de Goys de Mezeyrac;380049;VIC;1930;1990;1990;1990;3;5;0;1;0;5;2;L380049;1930;1945;1999;x
Garde;380050;VIC;1936;1990;1990;1990;3;4;0;1;0;5;2;L380050;1936;1947;1999;x
Jannekeyn;380051;VIC;1930;1939;1942;1990;1;5;32768;3;0;5;2;L380051;1930;1960;1999;x
Jauneaud;380052;VIC;1930;1939;1940;1990;2;5;4096;3;0;5;2;L380052;1936;1960;1999;x
Paskewicz;380053;VIC;1942;1990;1990;1990;3;4;0;1;0;5;2;L380053;1942;1960;1999;x
Pinsard;380054;VIC;1930;1930;1990;1990;2;6;4608;2;0;5;2;L380054;1930;1953;1999;x
Rousselot de Saint-Ceran;380055;VIC;1938;1942;1990;1990;2;4;0;2;0;5;2;L380055;1938;1955;1999;x
Royer de Marancour;380056;VIC;1930;1990;1990;1990;3;4;0;1;0;5;2;L380056;1930;1945;1999;x
Chaban-Delmas;380058;VIC;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1970;1999;x
d'Arras;380059;VIC;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;1999;x
d'Harcourt;380060;VIC;1943;1990;1990;1990;3;5;256;1;0;4;0;L24040;1943;1960;1999;x
de Bazelaire de Ruppiere;380061;VIC;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1945;1999;x
de Benouville;380062;VIC;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;1999;x
de Corta;380063;VIC;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;1999;x
Decugis;380064;VIC;1944;1990;1990;1990;3;4;32;1;0;5;0;L24045;1944;1970;1999;x
de Gaulle;380065;VIC;1940;1941;1944;1948;0;8;132;3;0;5;0;M2027;1940;1960;1999;x
de Guillebon;380066;VIC;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1970;1999;x
de Hesdin;380067;VIC;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1956;1999;x
de Larminat;380068;VIC;1941;1942;1943;1990;1;6;5;3;0;5;0;L24051;1941;1963;1999;x
de Roux;380069;VIC;1938;1990;1990;1990;3;5;0;1;0;5;0;L24052;1938;1964;1999;x
de Saint-Maurice;380070;VIC;1930;1930;1990;1990;2;3;513;1;0;5;0;L24053;1930;1946;1999;x
Delestraint;380071;VIC;1930;1939;1990;1990;2;6;128;2;0;5;0;L24058;1960;1946;1999;x
Girot de Langlade;380073;VIC;1944;1990;1990;1990;3;5;128;1;0;5;0;L24085;1944;1970;1999;x
Goislard de Monsabert;380074;VIC;1941;1943;1944;1945;1;6;36;4;0;4;0;L24087;1941;1953;1999;x
Juin;380075;VIC;1938;1940;1941;1942;0;8;67108869;4;0;5;0;L24101;1936;1962;1999;x
Koenig;380076;VIC;1942;1943;1944;1946;1;7;6;4;0;5;0;L24107;1942;1964;1999;x
de Lattre de Tassigny;380077;VIC;1936;1941;1943;1945;1;8;20;4;0;5;0;M2047;1939;1955;1999;x
de Hauteclocque;380078;VIC;1936;1941;1943;1945;2;8;129;4;0;5;0;L24116;1939;1968;1999;x
Salan;380079;VIC;1944;1947;1990;1990;2;7;260;2;0;5;0;L24135;1944;1965;1999;x
Huntzinger;380080;VIC;1930;1940;1945;1990;2;5;3;2;0;5;0;M57007;1930;1947;1999;x
Lacroix;380081;VIC;1930;1941;1990;1990;2;6;10240;2;0;5;1;L24195;1930;1949;1990;x
Thierry d'Argenlieu;380082;VIC;1930;1944;1946;1990;3;5;0;3;0;4;1;L24173;1930;1955;1999;x
Gervais de Lafond;380084;VIC;1941;1990;1990;1990;3;6;0;2;0;5;1;L24179;1941;1955;1990;x
Durand;380085;VIC;1940;1990;1990;1990;3;5;264;1;0;3;0;L24031;1940;1952;1990;x
Franchet d'Esperey;380086;VIC;1936;1936;1936;1938;1;7;517;3;0;5;0;Kaiserreich d'Esperey;1936;1942;1999;x
Darlan;380087;VIC;1930;1930;1930;1941;1;7;4608;3;0;5;1;L24151;1930;1947;1999;x
Touzet du Vigier;380088;VIC;1930;1937;1941;1943;0;7;164;3;0;5;0;VICTou;1930;1953;1999;x
Niessel;380089;VIC;1930;1930;1930;1990;2;6;514;3;0;5;0;VICNie;1930;1939;1999;x
Linder;380093;VIC;1930;1930;1930;1944;2;6;2;1;0;5;0;VICLin;1930;1951;1999;x
Chrétien;380094;VIC;1930;1930;1937;1944;2;6;2;3;0;5;0;VICChr;1930;1950;1999;x
Serrigny;380095;VIC;1930;1930;1930;1939;2;6;514;3;0;5;0;VICSer;1930;1936;1999;x
Duval M.;380096;VIC;1930;1930;1938;1940;0;6;16384;4;0;5;2;VICDuv;1930;1940;1999;x
Brocard A.;380097;VIC;1930;1930;1938;1940;0;6;4096;4;0;5;2;VICBro;1930;1950;1999;x
Fonck;380098;VIC;1930;1938;1939;1945;0;8;4096;4;0;5;2;VICFon;1930;1960;1999;x
Brissaud-Desmaillet;380099;VIC;1930;1930;1930;1948;1;7;265;4;0;5;0;VICDes;1930;1949;1999;x
Lebocq;380100;VIC;1930;1930;1930;1943;2;6;514;3;0;5;0;VICLeb;1930;1943;1999;x
Mordacq;380101;VIC;1930;1930;1990;1990;2;6;516;3;0;5;0;VICMor;1930;1943;1999;x
de Barescut;380102;VIC;1930;1930;1930;1990;2;6;514;2;0;5;0;VICBar;1930;1936;1999;x
Maunoury;380103;VIC;1930;1938;1939;1945;0;6;4096;2;0;5;2;VICMan;1930;1960;1999;x
Heurtaux;380104;VIC;1930;1938;1939;1945;0;7;4096;2;0;5;2;VICHer;1930;1960;1999;x
Giraud;380105;VIC;1930;1930;1939;1947;2;6;2;3;0;5;0;VICGir;1930;1950;1999;x
Auphan;380106;VIC;1930;1930;1938;1947;1;7;5120;3;0;5;1;VICAup;1930;1960;1999;x
Lacaze;380107;VIC;1930;1930;1938;1947;1;6;4608;3;0;5;1;VICLac;1930;1948;1999;x
Brébant;380108;VIC;1930;1938;1939;1954;2;6;2;3;0;5;0;VICBre;1930;1950;1999;x
Darnand;380109;VIC;1930;1938;1939;1954;2;6;2;3;0;5;0;VICDar;1930;1950;1999;x
Gouraud;380110;VIC;1930;1930;1930;1946;2;6;514;1;0;5;0;VICGou;1930;1946;1999;x
Janin;380111;VIC;1930;1930;1930;1990;1;6;524;4;0;5;0;VICJan;1930;1942;1999;x
Magrin-Vernerey;380112;VIC;1930;1930;1938;1950;1;7;257;2;0;5;0;VICMar;1930;1960;1999;x
Cambas;380113;VIC;1941;1990;1990;1990;3;5;1;0;0;5;0;M528046;1941;1970;1999;x
Carré de Lusancay;380114;VIC;1944;1939;1990;1990;2;5;1;1;0;5;0;M528009;1944;1970;1999;x
Catroux;380115;VIC;1930;1930;1930;1990;1;6;516;2;0;5;0;L24029;1930;1945;1999;x
Chakour;380116;VIC;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;1999;x
Chenailler;380117;VIC;1938;1942;1990;1990;2;4;256;1;0;5;0;L528013;1938;1960;1999;x
Duperier;380118;VIC;1939;1944;1990;1990;2;5;0;1;0;5;2;M528052;1939;1970;1999;x
Genin;380119;VIC;1930;1990;1990;1990;3;4;32;0;0;5;0;L528015;1930;1942;1999;x
Denain;380120;VIC;1930;1930;1930;1930;0;7;8192;3;0;5;2;L24361;1930;1945;1990;x
Morel-Delville;380121;VIC;1939;1943;1990;1990;2;5;128;1;0;5;0;L528018;1939;1969;1999;x
Tetu;380122;VIC;1937;1939;1940;1990;1;6;16384;2;0;5;2;L24390;1937;1954;1990;x
Jean;380123;VIC;1941;1943;1946;1990;1;5;0;2;0;5;2;L528032;1941;1960;1999;x
Amiel;380124;VIC;1945;1953;1990;1990;2;5;16384;1;0;5;2;M528007;1945;1970;1999;x
Platon;380125;VIC;1939;1941;1990;1990;2;6;2048;2;0;5;1;L24209;1939;1953;1990;x
Prioux;380126;VIC;1930;1939;1942;1990;1;5;129;2;0;5;0;VIC_René Prioux;1930;1948;1999;x
Blaizot;380127;VIC;1930;1940;1990;1990;2;5;8388608;2;0;5;0;L24017;1930;1956;1999;x
Brosset;380129;VIC;1938;1944;1990;1990;2;6;262148;1;0;5;0;L24023;1938;1963;1999;x
Perzo;380132;VIC;1941;1990;1990;1990;3;5;2048;1;0;5;1;LCharles_Perzo;1941;1960;1990;x
Ollive;380133;VIC;1933;1937;1940;1990;1;6;4096;2;0;5;1;LEmmanuel_Ollive;1933;1947;1990;x
L'Herminier;380134;VIC;1943;1990;1990;1990;3;6;1024;2;0;5;1;LJean_LHerminier;1943;1970;1990;x
Nomy;380135;VIC;1938;1943;1948;1990;1;6;8192;2;0;5;1;LHenri_Nomy;1938;1964;1990;x
Nomy;380136;VIC;1938;1943;1948;1990;1;6;139264;2;0;5;2;LHenri_Nomy;1938;1964;1990;x
La Haye;380137;VIC;1947;1952;1990;1990;1;7;4096;2;0;5;1;LCharles_Edouard_LaHaye;1947;1970;1990;x
La Haye;380138;VIC;1947;1952;1990;1990;1;7;131072;2;0;5;2;LCharles_Edouard_LaHaye;1947;1970;1990;x
Jouhaud;380139;VIC;1942;1949;1954;1990;1;7;8192;2;0;5;2;LEdmond_Jouhaud;1942;1970;1990;x
Nuville;380140;VIC;1930;1990;1990;1990;3;4;4096;1;0;5;2;LCharles_Nuville;1930;1955;1990;x
Barbreau;380141;VIC;1930;1990;1990;1990;3;4;0;1;0;5;2;LPaul_Barbreau;1930;1960;1990;x
Barny de Romanet;380142;VIC;1930;1990;1990;1990;3;6;4096;2;0;5;2;LBernard_Barny_deRomanet;1930;1960;1990;x
Chainat;380143;VIC;1930;1990;1990;1990;3;5;4096;1;0;5;2;LAndre_Chainat;1930;1957;1990;x
Dhôme;380144;VIC;1936;1990;1990;1990;3;5;0;1;0;5;2;LMarcel_Dhome;1936;1958;1990;x
Leps;380145;VIC;1936;1990;1990;1990;3;5;4096;1;0;5;2;LAdrien_Leps;1936;1960;1990;x
Le Groignec;380146;VIC;1944;1990;1990;1990;3;6;0;1;0;5;2;LJacques_LeGroignec;1944;1970;1990;x
Morraglia;380147;VIC;1936;1990;1990;1990;3;5;32768;2;0;5;2;LJean-Baptiste_Morraglia;1936;1955;1990;x
Lemaître;380148;VIC;1936;1990;1990;1990;3;5;98304;2;0;5;2;LHenri_Lemaitre;1936;1960;1990;x
Daillière;380149;VIC;1941;1990;1990;1990;3;6;131072;2;0;5;2;LHenri-Laurent_Dailliere;1941;1966;1990;x
Roussillat;380150;VIC;1941;1990;1990;1990;3;7;81920;2;0;5;2;LRobert_Roussillat;1941;1970;1990;x
Vigouroux;380151;VIC;1940;1990;1990;1990;3;6;98304;1;0;5;2;LMarcel_Vigouroux;1940;1970;1990;x
Challe;380152;VIC;1942;1990;1990;1990;3;6;8192;1;0;5;2;LMaurice_Challe;1942;1970;1990;x
Bérenger;380153;VIC;1940;1990;1990;1990;3;5;4096;1;0;5;1;LRegis_Berenger;1940;1954;1990;x
Bethouart;380154;VIC;1936;1942;1943;1990;1;7;268;3;0;5;0;L24011;1936;1960;1999;x
Adeline;380155;VIC;1940;1990;1990;1990;3;6;32;1;0;5;0;LHenri_Adeline;1940;1964;1999;x
Journois;380156;VIC;1936;1990;1990;1990;3;5;96;2;0;5;0;LGeorges_Journois;1936;1962;1999;x
Grossin;380157;VIC;1944;1952;1956;1990;1;7;33;2;0;5;0;LPaul_Grossin;1944;1970;1999;x
Blanc;380158;VIC;1939;1945;1953;1990;1;6;5;1;0;5;0;LClement_Blanc;1939;1963;1999;x
Allard;380159;VIC;1946;1990;1990;1990;3;6;8388609;1;0;5;0;LJacques_Allard;1946;1970;1999;x
Brisac;380160;VIC;1941;1950;1990;1990;2;7;0;2;0;5;0;LPierre_Brisac;1941;1962;1999;x
Lejay;380161;VIC;1946;1990;1990;1990;3;5;68;1;0;5;0;LAndre_Lejay;1946;1966;1999;x
Noiret;380162;VIC;1940;1948;1990;1990;2;6;6;1;0;5;0;LRoger_Noiret;1940;1960;1999;x
Olry;380163;VIC;1932;1936;1940;1990;1;7;4194306;3;0;5;0;LRene_Olry;1932;1946;1999;x
