Id;Name;Area;Region;Continent;Climate;Terrain;SizeModifier;AirCapacity;Infrastructure;City;Beaches;Port Allowed;Port Seazone;IC;Manpower;Oil;Metal;Energy;Rare Materials;City XPos;City YPos;Army XPos;Army YPos;Port XPos;Port YPos;Beach XPos;Beach YPos;Beach Icon;Fort XPos;Fort YPos;AA XPos;AA YPos;Counter x;Counter Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Fill coord X;Fill coord Y;;;;;;;;;
0;PROV0;-;-;;-;Clear;;;100;;0;0;0;0;0;0;0;0;0;14968;5752;0;0;14976;5760;14976;5760;0;0;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;;;;;;;
1;PROV1;Iceland;Iceland;Europe;Subarctic;Hills;;;40;;1;1;2664;0;0;0;1;2;0;13159;749;13108;733;13026;730;13057;735;7;13141;787;13105;668;13108;733;;;;;;;;;;;13188;716;-1;-1;;;;;;;
2;PROV2;Iceland;Iceland;Europe;Subarctic;Hills;;;20;;1;1;2676;0;0;0;0;2;1;14625;1083;14619;978;14647;922;14586;984;5;14625;983;14643;1022;14619;978;;;;;;;;;;;13368;648;-1;-1;;;;;;;
3;PROV3;Iceland;Iceland;Europe;Subarctic;Mountain;;;20;;0;0;0;0;0;0;1;0;0;13449;676;13335;701;13263;549;13307;570;3;13267;763;13165;695;13335;701;;;;;;;;;;;13188;716;-1;-1;;;;;;;
4;PROV4;North Scotland;Scotland;Europe;Temperate;Hills;;;40;;0;1;2716;0;0;0;0;0;1;14461;1437;14519;1395;14460;1494;14502;1430;11;14516;1399;14556;1365;14519;1395;;;;;;;;;;;14256;1420;14208;1491;14196;1535;-1;-1;;;
5;PROV5;North Scotland;Scotland;Europe;Temperate;Hills;;;40;;0;1;2685;0;0;0;0;0;1;14704;1424;14741;1407;14777;1338;14768;1413;3;14743;1411;14716;1393;14741;1407;;;;;;;;;;;14376;1440;14450;1406;14426;1384;-1;-1;;;
6;PROV6;North Scotland;Scotland;Europe;Temperate;Mountain;;;60;;0;1;2716;0;0;0;0;0;1;14649;1420;14624;1481;14504;1632;14532;1572;1;14622;1524;14567;1560;14624;1481;;;;;;;;;;;14308;1548;-1;-1;;;;;;;
7;PROV7;North Scotland;Scotland;Europe;Temperate;Hills;;;60;;0;1;2685;3;1;0;0;0;1;14726;1516;14773;1579;14752;1505;14790;1519;9;14717;1630;14813;1535;14773;1579;;;;;;;;;;;14424;1612;-1;-1;;;;;;;
8;PROV8;North Scotland;Scotland;Europe;Temperate;Mountain;;;50;;0;0;0;0;0;0;0;0;1;14705;1554;14632;1591;14530;1713;14512;1748;1;14651;1615;14598;1592;14632;1591;;;;;;;;;;;15260;7152;-1;-1;;;;;;;
9;PROV9;North Scotland;Scotland;Europe;Temperate;Hills;;;20;;1;1;2684;0;0;0;0;10;1;14961;1167;14936;1219;14932;1268;14957;1211;1;14941;1222;14942;1177;14936;1219;;;;;;;;;;;25512;420;-1;-1;;;;;;;
