U43;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
143100;Hammer;T_U43_Red_Hammer;2;1930;1970;mechanics;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143101;Vladikavkaz Ordnance and Steel Plant;T14704;2;1930;1970;artillery;mechanics;general_equipment;vehicle_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143102;Groznyj Electromechanical Plant;T14703;3;1930;1970;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143103;Grozny Petroleum Company;Imperial Oil;5;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143104;North Ossetian Pedagogical Institute;T_U43_Ossetian_Pedagogical;2;1936;1970;mathematics;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143105;Tsallagov Panteley;TU43TP;2;1941;1970;naval_artillery;small_taskforce_tactics;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143106;Groznyj Air Force Cadet Center;T10402;2;1930;1970;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143107;Ibragim Dzusov;TU34ID;4;1936;1970;fighter_tactics;centralized_execution;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143108;Tapa Tchermoeff;TU43TT;4;1930;1947;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143109;Vladikavkaz Military Academy;T10401;4;1930;1970;small_unit_tactics;decentralized_execution;individual_courage;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143110;Sultan K. Girei;T_U43_Sultan_Girei2;4;1930;1945;small_unit_tactics;decentralized_execution;individual_courage;cavalry_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143111;Movlid Visaitov;TU43MV;4;1945;1949;small_unit_tactics;decentralized_execution;combined_arms_focus;maneuver_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143112;Georgiy Khetagurov;T_U43_Georgiy_Khetagurov2;6;1947;1970;large_unit_tactics;centralized_execution;infantry_focus;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
143113;Issa Aleksandrovich Pliev;T_U43_Issa_Aleksandrovich_Pliev;6;1949;1970;large_unit_tactics;centralized_execution;decentralized_execution;maneuver_tactics;blitzkrieg_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
