PAR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
5400;Compañía aviadora Paraguaya;T2601;2;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5401;Transporte Aéreo Militar;T_PAR_TAM;3;1950;1970;aeronautics;bomber_design;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5402;José Alfredo Bozzano;T_PAR_Jose_Bozzano;4;1930;1970;naval_engineering;aeronautics;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5403;Arsenales de Guerra y Marina;T_PAR_Arsenales_Guerra_Marina;3;1930;1970;artillery;naval_engineering;mechanics;general_equipment;munitions;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5404;Compañía Americana de Luz y Tracción;T_PAR_CALT;2;1930;1948;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5405;Administración Nacional de Electricidad;T_PAR_ANDE;3;1948;1970;mechanics;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5406;Shell Oil Paraguay;100417;3;1930;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5407;Desiderio Segovia Montania;T_PAR_Desiderio_Montania;4;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5408;Compañía Bloom S.A.;T5404;4;1930;1970;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5409;Universidad Nacional de Asunción;T_PAR_Universidad_Nacional;2;1930;1970;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5410;Juan Max Boettner;T_PAR_Juan_Boettner;3;1930;1969;medicine;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5411;Vicente Almandos Almonacid;T_PAR_Vicente_Almonacid;3;1930;1942;fighter_tactics;bomber_tactics;piloting;aircraft_testing;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5412;Higinio Morinigo Martinez;T5403;3;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5413;Escuela Militar;T_PAR_Escuela_Militar;3;1930;1970;individual_courage;infantry_focus;combined_arms_focus;piloting;naval_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5414;Alfredo Stroessner Matiauda;T_PAR_Alfredo_Matiauda;4;1946;1970;large_unit_tactics;centralized_execution;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5415;Rafael Franco Ojeda;T_PAR_Rafael_Franco;4;1935;1960;small_unit_tactics;centralized_execution;infantry_focus;maneuver_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5416;Raimundo Rolón Villasanti;T_PAR_Raimundo_Rolon;4;1947;1970;small_unit_tactics;decentralized_execution;static_defense_tactics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5417;José Estigarribia;T5402;6;1930;1955;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
